Daily River Authority trends for Gummanur from 01-Jan-2009 to 31-Dec-2014,,,,,
,,,,,
Dates,Last 10 Year Average (Flow in cumecs),Last Year (Flow in cumecs),Current Year (Flow in cumecs),Level (m),
01-Jan-09,5.843016,4.134446,5.598714,491.27,
02-Jan-09,5.813833,1.762,5.65033,491.26,
03-Jan-09,5.08957437,5.3416576,4.906,491.26,
04-Jan-09,4.6814574,4.350574,4.264,491.25,
05-Jan-09,4.81589733,4.1969733,4.472,491.25,
06-Jan-09,5.0027,5.575,2.215,491.19,
07-Jan-09,5.26375335,5.9355335,3.14,491.22,
08-Jan-09,4.76179338,3.3709338,3.14,491.22,
09-Jan-09,4.18013944,3.4243944,3.14,491.22,
10-Jan-09,4.19556424,3.4536424,3.14,491.22,
11-Jan-09,4.80392062,3.7112062,3.14,491.22,
12-Jan-09,4.54950006,3.3410006,7.162,491.31,
13-Jan-09,5.3057409,3.605,6.844409,491.31,
14-Jan-09,5.38238014,5.5818014,7.162,491.31,
15-Jan-09,4.8336303,3.605,6.786303,491.31,
16-Jan-09,4.59481345,4.15313,7.3660045,491.31,
17-Jan-09,4.94183188,4.144806,6.657409,491.3,
18-Jan-09,4.22671306,4.465229,4.264,491.25,
19-Jan-09,4.13214404,4.1604404,4.264,491.25,
20-Jan-09,3.7571,1.581,4.062,491.25,
21-Jan-09,3.463226746,0.70726746,1.948,491.18,
22-Jan-09,1.430827164,0.52136064,1.407911,491.15,
23-Jan-09,1.622888593,0.53393483,1.0229511,491.14,
24-Jan-09,1.327534146,0.5576606,1.0344112,491.14,
25-Jan-09,1.78653548,3.4243548,1.08,491.14,
26-Jan-09,1.8003,3.605,1.08,491.14,
27-Jan-09,2.40065867,10.23,1.2705867,491.15,
28-Jan-09,1.56896816,3.2557342,1.2639474,491.15,
29-Jan-09,1.20850319,1.2570845,1.2639474,491.15,
30-Jan-09,1.53169758,3.4131932,4.3147826,491.26,
31-Jan-09,1.8865559,3.406225,4.3147826,491.26,
01-Feb-09,1.74785978,3.4765978,4.124,491.26,
02-Feb-09,1.3927877,1.5817404,4.3191366,491.26,
03-Feb-09,1.44817826,1.956,4.3147826,491.26,
04-Feb-09,1.41363062,1.6544572,4.268849,491.25,
05-Feb-09,1.93204335,3.2655845,4.268849,491.25,
06-Feb-09,1.7972711,4.205253,4.215458,491.24,
07-Feb-09,1.95285654,4.1561074,4.215458,491.24,
08-Feb-09,1.6315682,4.080682,3.585,491.25,
09-Feb-09,2.18363636,4.0519056,4.215458,491.24,
10-Feb-09,3.18208747,2.616,2.8728747,491.24,
11-Feb-09,1.86788643,1.7358643,3.09,491.23,
12-Feb-09,1.53719916,1.7523463,2.8446453,491.23,
13-Feb-09,1.90530259,8.831279,2.8277469,491.23,
14-Feb-09,2.29753786,8.066241,2.978128,491.23,
15-Feb-09,1.9678638,8.098638,3.09,491.23,
16-Feb-09,1.32846373,4.2565093,2.978128,491.23,
17-Feb-09,1.2412128,3.855,2.978128,491.23,
18-Feb-09,1.0250128,3.605,2.978128,491.23,
19-Feb-09,1.12290102,3.605,2.9450102,491.22,
