Daily River Authority trends for Gummanur from 01-Jan-1975 to 31-Dec-1979,,,,,
,,,,,
Dates,Last 10 Year Average (Flow in cumecs),Last Year (Flow in cumecs),Current Year (Flow in cumecs),Level (m),
01-Sep-78,0,0,0,490.95,
02-Sep-78,0,0,0,490.94,
03-Sep-78,0,0,0,490.94,
04-Sep-78,0,0,0,490.94,
05-Sep-78,0,0,0,490.94,
06-Sep-78,0,0,0,490.94,
07-Sep-78,0,0,0,490.93,
08-Sep-78,0,0,0,490.96,
09-Sep-78,0,0,0,490.94,
10-Sep-78,0,0,0,490.93,
11-Sep-78,0,0,0,490.98,
12-Sep-78,0,0,0,491.1,
13-Sep-78,0,0,0,490.97,
14-Sep-78,0,0,0,490.98,
15-Sep-78,0,0,0,490.98,
16-Sep-78,0,0,0,490.98,
17-Sep-78,0,0,0,491.01,
18-Sep-78,0,0,0,491.02,
19-Sep-78,0,0,0,491.01,
20-Sep-78,2.5,0,2.5,491,
21-Sep-78,11.1,0,11.1,491.1,
22-Sep-78,13,0,13,491.13,
23-Sep-78,13,0,13,491.13,
24-Sep-78,15.5,0,15.5,491.17,
25-Sep-78,8.7,0,8.7,491.13,
26-Sep-78,15,0,15,491.16,
27-Sep-78,123,0,123,492.1,
28-Sep-78,72,0,72,491.7,
29-Sep-78,5.5,0,5.5,491.3,
30-Sep-78,36.9,0,36.9,491.39,
01-Oct-78,55,0,55,491.56,
02-Oct-78,49.9,0,49.9,491.45,
03-Oct-78,28,0,28,491.32,
04-Oct-78,24.5,0,24.5,491.23,
05-Oct-78,12.1,0,12.1,491.11,
06-Oct-78,9.9,0,9.9,491.02,
07-Oct-78,9.3,0,9.3,491.02,
08-Oct-78,6,0,6,491.01,
09-Oct-78,5,0,5,491,
10-Oct-78,18.7,0,18.7,491.17,
11-Oct-78,18,0,18,491.18,
12-Oct-78,18,0,18,491.18,
13-Oct-78,29.6,0,29.6,491.33,
14-Oct-78,34.4,0,34.4,491.35,
15-Oct-78,15,0,15,491.16,
16-Oct-78,11.5,0,11.5,491.11,
17-Oct-78,6.5,0,6.5,491.02,
18-Oct-78,48,0,48,491.5,
19-Oct-78,32.1,0,32.1,491.35,
20-Oct-78,21,0,21,491.24,
21-Oct-78,22.3,0,22.3,491.2,
22-Oct-78,14.5,0,14.5,491.15,
23-Oct-78,12.6,0,12.6,491.1,
24-Oct-78,9.1,0,9.1,491.06,
25-Oct-78,10.4,0,10.4,491.08,
26-Oct-78,10.1,0,10.1,491.07,
27-Oct-78,23.4,0,23.4,491.27,
28-Oct-78,17.1,0,17.1,491.18,
29-Oct-78,9,0,9,491.06,
30-Oct-78,6.5,0,6.5,491.02,
31-Oct-78,10.9,0,10.9,491.06,
01-Nov-78,11.2,0,11.2,491.07,
02-Nov-78,7.2,0,7.2,491.05,
03-Nov-78,7,0,7,491.04,
04-Nov-78,9.2,0,9.2,491.1,
05-Nov-78,19,0,19,491.2,
06-Nov-78,41.8,0,41.8,491.5,
07-Nov-78,66,0,66,491.65,
08-Nov-78,40.8,0,40.8,491.46,
09-Nov-78,31.5,0,31.5,491.37,
10-Nov-78,20.3,0,20.3,491.21,
11-Nov-78,16.4,0,16.4,491.15,
12-Nov-78,11.5,0,11.5,491.11,
13-Nov-78,9.2,0,9.2,491.11,
14-Nov-78,9.9,0,9.9,491.11,
15-Nov-78,8.5,0,8.5,491.08,
