Daily River Authority trends for Gummanur from 01-Jan-1980 to 31-Dec-1985,,,,,
,,,,,
Dates,Last 10 Year Average (Flow in cumecs),Last Year (Flow in cumecs),Current Year (Flow in cumecs),Level (m),
01-Jan-80,3.55,3.3,3.8,490.94,
02-Jan-80,3.25,3,3.5,490.94,
03-Jan-80,3.05,3,3.1,490.94,
04-Jan-80,3.2,2.9,3.5,490.95,
05-Jan-80,3.15,2.4,3.9,490.95,
06-Jan-80,3,2.1,3.9,490.95,
07-Jan-80,3.1,1.5,4.7,490.97,
08-Jan-80,2.7,2,3.4,490.94,
09-Jan-80,2.65,1.9,3.4,490.94,
10-Jan-80,2.55,1.9,3.2,490.94,
11-Jan-80,2.45,1.7,3.2,490.94,
12-Jan-80,2.2,1.4,3,490.93,
13-Jan-80,1.95,1.7,2.2,490.92,
14-Jan-80,2.3,2.3,2.3,490.92,
15-Jan-80,1.95,1.6,2.3,490.92,
16-Jan-80,1.85,1.5,2.2,490.9,
17-Jan-80,1.75,1.4,2.1,490.92,
18-Jan-80,1.7,1.2,2.2,490.92,
19-Jan-80,1.45,1.2,1.7,490.91,
20-Jan-80,1.55,1.1,2,490.9,
21-Jan-80,1.55,1.2,1.9,490.91,
22-Jan-80,1.6,1,2.2,490.91,
23-Jan-80,1.45,1.1,1.8,490.9,
24-Jan-80,1.7,1.1,2.3,490.92,
25-Jan-80,1.4,1.2,1.6,490.89,
26-Jan-80,0.95,0.7,1.2,490.88,
27-Jan-80,0.95,0.7,1.2,490.89,
28-Jan-80,0.95,0.7,1.2,490.9,
29-Jan-80,1,0.7,1.3,490.89,
30-Jan-80,0.8,0.5,1.1,490.88,
31-Jan-80,0.7,0.3,1.1,490.88,
01-Feb-80,0.65,0.3,1,490.88,
02-Feb-80,0.65,0.3,1,490.87,
03-Feb-80,0.6,0.4,0.8,490.86,
04-Feb-80,0.7,0.4,1,490.89,
05-Feb-80,0.7,0.4,1,490.88,
06-Feb-80,0.7,0.3,1.1,490.87,
07-Feb-80,0.7,0.4,1,490.87,
08-Feb-80,0.55,0.3,0.8,490.87,
09-Feb-80,0.6,0.3,0.9,490.88,
10-Feb-80,0.65,0.3,1,490.87,
11-Feb-80,0.5,0.3,0.7,490.86,
12-Feb-80,0.5,0.2,0.8,490.86,
13-Feb-80,0.55,0.4,0.7,490.87,
14-Feb-80,0.45,0.3,0.6,490.84,
15-Feb-80,0.65,0.5,0.8,490.88,
16-Feb-80,0.85,1,0.7,490.85,
17-Feb-80,1.35,0.8,1.9,490.89,
18-Feb-80,1.15,1.3,1,490.88,
19-Feb-80,0.95,1.2,0.7,490.87,
20-Feb-80,1.6,2.2,1,490.87,
21-Feb-80,5.7,10.4,1,490.88,
22-Feb-80,7.9,14.8,1,490.9,
23-Feb-80,4.75,8.8,0.7,490.87,
24-Feb-80,4.5,8,1,490.86,
25-Feb-80,5.35,10.2,0.5,490.82,
26-Feb-80,2.75,5,0.5,490.81,
27-Feb-80,2.6,4.8,0.4,490.81,
28-Feb-80,1.95,3.5,0.4,490.81,
29-Feb-80,1.95,3.5,0.4,490.81,
01-Mar-80,1.75,3.2,0.3,490.8,
02-Mar-80,1.3,2.3,0.3,490.81,
03-Mar-80,1.95,2.3,1.6,490.91,
04-Mar-80,1.8,2.2,1.4,490.89,
05-Mar-80,1.4,1.7,1.1,490.88,
06-Mar-80,1.2,1.5,0.9,490.88,
07-Mar-80,0.85,0.9,0.8,490.86,
08-Mar-80,0.8,0.8,0.8,490.88,
09-Mar-80,0.85,0.7,1,490.86,
10-Mar-80,0.55,0.6,0.5,490.83,
11-Mar-80,0.35,0.3,0.4,490.81,
12-Mar-80,0.7,0.6,0.8,490.87,
13-Mar-80,0.55,0.4,0.7,490.85,
14-Mar-80,0.85,0.4,1.3,490.9,
15-Mar-80,0.5,0.4,0.6,490.86,
16-Mar-80,0.5,0.4,0.6,490.83,
17-Mar-80,0.4,0.3,0.5,490.83,
18-Mar-80,0.35,0.3,0.4,490.82,
19-Mar-80,0.25,0.2,0.3,490.81,
20-Mar-80,0.2,0.2,0.2,490.79,
21-Mar-80,0.15,0.2,0.1,490.77,
22-Mar-80,0.2,0.2,0.2,490.8,
23-Mar-80,0.15,0.2,0.1,490.79,
24-Mar-80,0.2,0.3,0.1,490.79,
25-Mar-80,0.15,0.2,0.1,490.79,
26-Mar-80,0.15,0.2,0.1,490.79,
27-Mar-80,0.15,0.2,0.1,490.79,
28-Mar-80,0.15,0.2,0.1,490.79,
29-Mar-80,0.2,0.2,0.2,490.8,
30-Mar-80,0.1,0.1,0.1,490.79,
31-Mar-80,0.1,0.1,0.1,490.81,
